ID;seller_id;leftBy_id;rating;comment;date
11111111-7777-8888-9999-000000000020;11111111-1111-1111-1111-111111111138;11111111-1111-1111-1111-111111111126;4;Good transaction. Key worked fine. Seller could improve response time though.;2026-04-10T17:20:00Z
11111111-7777-8888-9999-000000000021;11111111-1111-1111-1111-111111111143;11111111-1111-1111-1111-111111111127;5;Very professional seller. Key delivered instantly. Will be a repeat customer.;2026-04-11T11:45:00Z
11111111-7777-8888-9999-000000000022;11111111-1111-1111-1111-111111111147;11111111-1111-1111-1111-111111111128;3;Average experience. Key worked but seller didn't communicate much. Fine for the price.;2026-04-12T14:15:00Z
11111111-7777-8888-9999-000000000023;11111111-1111-1111-1111-111111111102;11111111-1111-1111-1111-111111111130;5;Outstanding! Got DOOM Eternal for half price. Seller even followed up to make sure key worked.;2026-04-13T09:30:00Z
11111111-7777-8888-9999-000000000024;11111111-1111-1111-1111-111111111105;11111111-1111-1111-1111-111111111131;4;Solid seller. Would recommend. Delivery was fast, key authentic.;2026-04-01T10:20:00Z
11111111-7777-8888-9999-000000000025;11111111-1111-1111-1111-111111111108;11111111-1111-1111-1111-111111111132;5;Best seller on this platform! Very helpful with my activation issue. 5 stars!;2026-04-02T13:45:00Z
11111111-7777-8888-9999-000000000026;11111111-1111-1111-1111-111111111117;11111111-1111-1111-1111-111111111134;1;Fake key! Seller blocked me after purchase. Opened dispute with platform support.;2026-04-03T19:30:00Z
11111111-7777-8888-9999-000000000027;11111111-1111-1111-1111-111111111120;11111111-1111-1111-1111-111111111135;5;Trustworthy seller! Bought multiple times, never disappointed. Fast and reliable.;2026-04-04T08:15:00Z
11111111-7777-8888-9999-000000000028;11111111-1111-1111-1111-111111111123;11111111-1111-1111-1111-111111111136;4;Good experience. Key worked, delivery took about 45 minutes. Acceptable.;2026-04-05T16:30:00Z
11111111-7777-8888-9999-000000000029;11111111-1111-1111-1111-111111111129;11111111-1111-1111-1111-111111111137;5;Perfect transaction! Seller provided screenshots of key before purchase. Very transparent.;2026-04-06T11:10:00Z
11111111-7777-8888-9999-000000000030;11111111-1111-1111-1111-111111111133;11111111-1111-1111-1111-111111111139;5;Amazing deal on Dead Cells! Key arrived in 5 minutes. Will buy again for sure.;2026-04-07T14:55:00Z
